ticker,name,price_curr,change_1d,return_1w,alpha_1m,rvol,grade_score,description
218420,KODEX 미국S&P500에너지(합성),16915,0.0,1.2,-17.63,185.2,A3,추세 전환 시도 중
326230,RISE 내수주플러스,11645,-3.4,1.04,-17.78,126.9,A4,추세 전환 시도 중
0089D0,KODEX 금융고배당TOP10,11540,-1.95,1.58,-17.79,124.3,A3,추세 전환 시도 중
284430,KODEX 200미국채혼합,18380,-1.18,1.13,-17.92,142.5,A3,추세 전환 시도 중
474800,KIWOOM 미국원유에너지기업,13310,-0.63,1.64,-18.23,199.1,A3,추세 전환 시도 중
488290,마이다스 일본테크액티브,33290,-0.86,1.03,-18.25,64.8,A1,단기 반짝 가능성 체크
491510,파워 K-주주가치액티브,15850,-2.97,1.44,-18.28,37.8,A1,단기 반짝 가능성 체크
0052D0,TIGER 코리아배당다우존스,14485,-2.33,0.98,-18.54,167.3,A3,추세 전환 시도 중
0098N0,PLUS 자사주매입고배당주,11720,-2.5,1.3,-18.81,145.6,A3,추세 전환 시도 중
0097L0,KIWOOM 한국고배당&미국AI테크,11770,-3.52,0.86,-19.15,102.4,A2,추세 전환 시도 중
0036Z0,RISE 미국천연가스밸류체인,11690,1.78,4.7,-19.19,358.6,A5,추세 전환 시도 중
241390,RISE V&S셀렉트밸류채권혼합,14665,-3.2,-1.41,-19.66,285.7,F5,시장 소외주: 관망 권고
497780,KoAct 미국천연가스인프라액티브,10255,0.64,2.81,-19.72,299.2,A5,추세 전환 시도 중
466940,TIGER 은행고배당플러스TOP10,22555,-1.7,0.96,-20.1,168.6,A3,추세 전환 시도 중
437370,RISE 글로벌농업경제,10750,1.9,2.53,-20.36,375.3,A4,추세 전환 시도 중
483420,ACE 애플밸류체인액티브,15430,-1.88,1.38,-20.36,195.7,A3,추세 전환 시도 중
140700,KODEX 보험,13265,-3.46,0.91,-20.44,73.7,A1,단기 반짝 가능성 체크
489860,KIWOOM 글로벌전력GRID인프라,14405,0.63,4.2,-20.55,233.9,A5,추세 전환 시도 중
215620,HK S&P코리아로우볼,17365,0.4,2.57,-21.28,9.3,A1,단기 반짝 가능성 체크
150460,TIGER 중국소비테마,7830,-3.51,1.03,-21.45,147.0,A4,추세 전환 시도 중
488480,RISE 일본섹터TOP4Plus,12830,-0.77,1.83,-21.47,112.4,A2,추세 전환 시도 중
256750,KODEX 차이나심천ChiNext(합성),15390,-0.06,0.92,-21.48,112.6,A2,추세 전환 시도 중
0018C0,PLUS 고배당주위클리고정커버드콜,12490,-2.42,0.81,-21.53,164.2,A3,추세 전환 시도 중
493420,SOL 미국배당다우존스2호,11615,2.88,2.38,-21.64,144.0,A4,추세 전환 시도 중
489010,PLUS 글로벌AI인프라,16405,-2.12,0.95,-21.66,61.8,A1,단기 반짝 가능성 체크
266410,KODEX 필수소비재,8690,-1.42,2.42,-21.93,176.9,A4,추세 전환 시도 중
402970,ACE 미국배당다우존스,13915,2.85,2.69,-21.95,158.2,A4,추세 전환 시도 중
446720,SOL 미국배당다우존스,12555,2.66,2.36,-22.09,169.7,A3,추세 전환 시도 중
489250,KODEX 미국배당다우존스,11770,2.39,2.48,-22.15,142.3,A4,추세 전환 시도 중
483030,KIWOOM 미국블록버스터바이오테크의약품+,11465,2.37,1.19,-22.15,168.6,A3,추세 전환 시도 중
458730,TIGER 미국배당다우존스,13680,2.4,2.2,-22.26,184.3,A3,추세 전환 시도 중
200030,KODEX 미국S&P500산업재(합성),41215,1.25,1.36,-22.27,123.9,A3,추세 전환 시도 중
227570,TIGER 우량가치,17435,-3.0,1.1,-22.27,104.6,A3,추세 전환 시도 중
269530,PLUS S&P글로벌인프라,21055,1.81,3.59,-22.29,1372.9,A5,추세 전환 시도 중
458750,TIGER 미국배당다우존스타겟커버드콜1호,12155,2.92,2.4,-22.45,97.5,A2,추세 전환 시도 중
269370,TIGER S&P글로벌인프라(합성),17860,1.77,2.17,-22.82,122.1,A3,추세 전환 시도 중
422260,VITA MZ소비액티브,10565,-2.94,1.29,-22.83,100.0,A2,추세 전환 시도 중
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,9620,2.34,2.29,-22.99,200.9,A4,추세 전환 시도 중
174350,TIGER 로우볼,18790,-3.09,2.26,-23.4,176.8,A3,추세 전환 시도 중
424460,HANARO 글로벌워터MSCI(합성),16195,1.03,1.09,-23.91,34.6,A1,단기 반짝 가능성 체크
0115C0,RISE 미국고배당다우존스TOP10,11190,2.61,2.85,-23.91,137.8,A3,추세 전환 시도 중
458760,TIGER 미국배당다우존스타겟커버드콜2호,10490,2.84,1.06,-23.98,211.0,A4,추세 전환 시도 중
269420,KODEX S&P글로벌인프라(합성),22765,1.38,3.31,-24.02,94.3,A3,추세 전환 시도 중
0127M0,ACE 미국대형가치주액티브,10775,0.65,1.46,-24.02,70.7,A1,단기 반짝 가능성 체크
266550,PLUS 중형주저변동50,16095,-1.98,0.37,-24.42,557.0,F5,시장 소외주: 관망 권고
