market,ticker,name,2025-12-16_P,2025-12-16_V,2025-12-17_P,2025-12-17_V,2025-12-18_P,2025-12-18_V,2025-12-19_P,2025-12-19_V,2025-12-22_P,2025-12-22_V,2025-12-23_P,2025-12-23_V,2025-12-24_P,2025-12-24_V,2025-12-26_P,2025-12-26_V,2025-12-29_P,2025-12-29_V,2025-12-30_P,2025-12-30_V,2026-01-02_P,2026-01-02_V,2026-01-05_P,2026-01-05_V,2026-01-06_P,2026-01-06_V,2026-01-07_P,2026-01-07_V,2026-01-08_P,2026-01-08_V,2026-01-09_P,2026-01-09_V,2026-01-12_P,2026-01-12_V,2026-01-13_P,2026-01-13_V,2026-01-14_P,2026-01-14_V,2026-01-15_P,2026-01-15_V,2026-01-16_P,2026-01-16_V,2026-01-19_P,2026-01-19_V,2026-01-20_P,2026-01-20_V,2026-01-21_P,2026-01-21_V,2026-01-22_P,2026-01-22_V,2026-01-23_P,2026-01-23_V,2026-01-26_P,2026-01-26_V,2026-01-27_P,2026-01-27_V,2026-01-28_P,2026-01-28_V,2026-01-29_P,2026-01-29_V
ETF,469070,RISE AI&로봇,13065.0,1577805.0,12645.0,1588297.0,12500.0,1389152.0,13000.0,1319771.0,13455.0,1225454.0,13240.0,1426196.0,13135.0,647453.0,12980.0,941811.0,13400.0,1120004.0,13210.0,848808.0,13610.0,1286591.0,13490.0,1684277.0,13310.0,1791303.0,13455.0,2170715.0,13255.0,1241257.0,13480.0,1150988.0,13580.0,1320524.0,14230.0,2519051.0,14445.0,2427881.0,15445.0,3389622.0,15495.0,5732268.0,17215.0,5933706.0,17345.0,7518318.0,17875.0,7719711.0,17660.0,8122580.0,17275.0,5583021.0,18170.0,5368816.0,18045.0,4276197.0,18695.0,5985626.0,18985.0,4611177.0
ETF,0093A0,RISE AI반도체TOP10,15320.0,54938.0,15880.0,44092.0,15475.0,2395301.0,15465.0,316650.0,16265.0,279902.0,16155.0,143403.0,16145.0,45591.0,16665.0,99258.0,16735.0,80565.0,16510.0,1810171.0,17920.0,218269.0,18365.0,148566.0,19835.0,169954.0,19265.0,263133.0,19175.0,390653.0,18830.0,87845.0,18645.0,176833.0,18745.0,101170.0,19000.0,64097.0,19240.0,109700.0,19370.0,126434.0,19405.0,112939.0,18910.0,150421.0,18735.0,73262.0,18875.0,73611.0,18805.0,65932.0,19700.0,117324.0,20975.0,222027.0,22515.0,199117.0,23445.0,336298.0
ETF,0101N0,RISE AI전력인프라,12860.0,194796.0,12700.0,101995.0,12225.0,133453.0,12420.0,84828.0,12585.0,100441.0,12465.0,115463.0,12350.0,106057.0,12045.0,126481.0,12490.0,135268.0,12250.0,95640.0,12585.0,163497.0,13210.0,279457.0,13235.0,354211.0,13000.0,288878.0,12990.0,218781.0,13050.0,140707.0,13405.0,347747.0,13585.0,303998.0,13920.0,515309.0,13915.0,527785.0,14040.0,485648.0,14325.0,521684.0,14600.0,797326.0,14265.0,799926.0,14380.0,729084.0,14360.0,444251.0,14240.0,420404.0,14470.0,462496.0,14770.0,996471.0,14945.0,477286.0
ETF,427120,RISE AI플랫폼,7174.0,860372.0,7124.0,978087.0,7054.0,380648.0,7074.0,5920941.0,7259.0,2051361.0,7204.0,600803.0,7134.0,908275.0,7030.0,311128.0,7160.0,242554.0,7175.0,741040.0,7445.0,115249.0,7370.0,33374.0,7425.0,8062.0,7230.0,17003.0,7165.0,7890.0,7260.0,11256.0,7245.0,16199.0,7240.0,35251.0,7165.0,22677.0,7150.0,22559.0,7045.0,13242.0,7035.0,8181.0,7185.0,30693.0,6965.0,40636.0,7040.0,22532.0,7555.0,309006.0,7825.0,241889.0,7900.0,229216.0,7990.0,101981.0,8115.0,86686.0
ETF,477080,RISE CD금리액티브(합성),105360.0,2787.0,105365.0,2612.0,105395.0,6427.0,105410.0,1555.0,105415.0,7586.0,105430.0,2561.0,105445.0,3561.0,105465.0,14410.0,105485.0,18475.0,105495.0,23828.0,105510.0,8768.0,105530.0,8377.0,105535.0,3427.0,105545.0,16191.0,105560.0,9728.0,105580.0,3029.0,105585.0,8483.0,105590.0,5033.0,105600.0,6417.0,105620.0,8664.0,105630.0,10312.0,105635.0,3766.0,105640.0,6164.0,105650.0,8461.0,105680.0,6692.0,105690.0,11309.0,105690.0,8508.0,105695.0,9072.0,105700.0,7616.0,105725.0,6254.0
ETF,290130,RISE ESG사회책임투자,21810.0,32534.0,22240.0,56117.0,22130.0,61558.0,22030.0,11812.0,22785.0,17916.0,22775.0,55012.0,22895.0,22294.0,23230.0,83326.0,24040.0,185018.0,24145.0,171556.0,24985.0,193453.0,26070.0,162590.0,26555.0,219590.0,26750.0,330309.0,26855.0,244124.0,26775.0,148244.0,26940.0,147001.0,27060.0,153574.0,27350.0,98014.0,27610.0,138137.0,28040.0,251062.0,28320.0,394767.0,27795.0,89073.0,27970.0,151983.0,28385.0,298515.0,28770.0,121610.0,28425.0,121668.0,29615.0,189942.0,30275.0,359173.0,30535.0,172964.0
ETF,367770,RISE 수소경제테마,17725.0,73477.0,17805.0,75475.0,17300.0,65985.0,17625.0,39127.0,17765.0,50727.0,17685.0,55508.0,17735.0,51393.0,17385.0,74188.0,17965.0,97994.0,17800.0,70846.0,17820.0,82170.0,18465.0,91554.0,18565.0,159108.0,19010.0,286575.0,19020.0,146020.0,19745.0,130625.0,20160.0,126460.0,21440.0,307436.0,21670.0,105100.0,22005.0,212089.0,21875.0,113734.0,22950.0,355040.0,22900.0,244068.0,23540.0,301488.0,23195.0,282866.0,23275.0,216089.0,23080.0,171521.0,23030.0,188615.0,23430.0,186260.0,23800.0,253131.0
ETF,326240,RISE IT플러스,23080.0,20204.0,23650.0,22433.0,23170.0,9100.0,23185.0,19223.0,23755.0,10685.0,23850.0,19453.0,23860.0,26844.0,24165.0,43272.0,24710.0,58013.0,24485.0,64410.0,25500.0,232117.0,26300.0,290652.0,26755.0,111069.0,26685.0,152480.0,26620.0,73107.0,26290.0,35474.0,26540.0,27580.0,26965.0,25917.0,27105.0,28825.0,27300.0,44995.0,27530.0,58355.0,27735.0,56804.0,27490.0,52984.0,27515.0,23922.0,28370.0,74973.0,28705.0,58243.0,29195.0,66800.0,30340.0,57334.0,31480.0,66859.0,31685.0,53367.0
ETF,385560,RISE KIS국고채30년Enhanced,72420.0,47368.0,71700.0,32799.0,71175.0,24074.0,71120.0,21439.0,70895.0,33260.0,70830.0,38853.0,71190.0,31314.0,70665.0,39097.0,71300.0,40363.0,70860.0,44513.0,70945.0,67300.0,70500.0,71100.0,70975.0,54548.0,71515.0,39658.0,71570.0,32526.0,71040.0,28598.0,71360.0,46839.0,70630.0,48877.0,70605.0,60254.0,69560.0,117777.0,69720.0,83034.0,68705.0,75938.0,66845.0,116682.0,67135.0,61885.0,67815.0,43504.0,67120.0,44090.0,67435.0,56132.0,67660.0,46371.0,67835.0,57838.0,67070.0,79923.0
ETF,479520,RISE KOFR금리액티브(합성),104440.0,3678.0,104455.0,1175.0,104460.0,1746.0,104480.0,1196.0,104500.0,4228.0,104510.0,2503.0,104505.0,6437.0,104545.0,22046.0,104540.0,18659.0,104565.0,2587.0,104580.0,6659.0,104590.0,3880.0,104600.0,2638.0,104610.0,4005.0,104615.0,1250.0,104635.0,4149.0,104645.0,4971.0,104650.0,2445.0,104655.0,4600.0,104665.0,2728.0,104680.0,3536.0,104695.0,4171.0,104705.0,2063.0,104710.0,4525.0,104720.0,4055.0,104735.0,4825.0,104750.0,7445.0,104750.0,5042.0,104755.0,4572.0,104760.0,3491.0
ETF,270800,RISE KQ고배당,13174.0,428.0,13159.0,1508.0,13189.0,290.0,13344.0,163.0,13543.0,866.0,13463.0,548.0,13339.0,184.0,13378.0,292.0,13359.0,13969.0,13339.0,193.0,13757.0,727.0,13956.0,2178.0,14026.0,1772.0,13926.0,2128.0,13782.0,3752.0,13896.0,257.0,13816.0,1124.0,13896.0,2009.0,13966.0,91.0,13891.0,1086.0,14135.0,23524.0,14200.0,7743.0,14180.0,6456.0,13677.0,1243.0,13672.0,621.0,13951.0,834.0,14573.0,3820.0,14692.0,14188.0,15345.0,21079.0,15820.0,8188.0
